i,j,formula,eigvals,dopant_options
15,3,FLi2MgN208SSeSi160Zn,"[0.00000000e+00+4.59039391e-05j 2.91238260e-05+0.00000000e+00j
 4.19422989e-05+0.00000000e+00j ... 1.43236260e-01+0.00000000e+00j
 1.44573162e-01+0.00000000e+00j 1.48313977e-01+0.00000000e+00j]","{'O', 'S', 'Li', 'Be', 'Al', 'Se', 'Mg', 'Zn', 'F'}"
18,0,Cd36I216In144,"[0.        +5.42990520e-06j 0.        +4.71840249e-06j
 0.        +2.29121497e-06j ... 0.01553352+0.00000000e+00j
 0.01553354+0.00000000e+00j 0.01553356+0.00000000e+00j]","{'O', 'Yb', 'La', 'Cl', 'Sb', 'Pb', 'Na', 'S', 'Se', 'Ce'}"
18,1,Cd35I211In141NaSe,"[0.        +3.54743015e-03j 0.        +3.43108301e-03j
 0.        +1.39045293e-06j ... 0.01750782+0.00000000e+00j
 0.02012593+0.00000000e+00j 0.02204291+0.00000000e+00j]","{'O', 'Yb', 'La', 'Cl', 'Sb', 'Pb', 'Na', 'S', 'Se', 'Ce'}"
18,2,Cd35ClI206In140NaO2S2Se,"[0.        +7.22986758e-06j 0.        +5.47256929e-06j
 0.        +3.27104247e-06j ... 0.04411817+0.00000000e+00j
 0.04475455+0.00000000e+00j 0.04636975+0.00000000e+00j]","{'O', 'Yb', 'La', 'Cl', 'Sb', 'Pb', 'Na', 'S', 'Se', 'Ce'}"
18,3,Cd32I214In140Na3Se,"[0.00000000e+00+7.29884593e-06j 2.39770189e-06+0.00000000e+00j
 6.85206014e-06+0.00000000e+00j ... 2.09101421e-02+0.00000000e+00j
 2.25441186e-02+0.00000000e+00j 2.37091692e-02+0.00000000e+00j]","{'O', 'Yb', 'La', 'Cl', 'Sb', 'Pb', 'Na', 'S', 'Se', 'Ce'}"
19,0,Ag288S144,"[0.00000000e+00+6.45023934e-06j 4.31747395e-06+0.00000000e+00j
 6.50361564e-06+0.00000000e+00j ... 2.75587465e-02+0.00000000e+00j
 2.75588454e-02+0.00000000e+00j 2.75589029e-02+0.00000000e+00j]","{'O', 'In', 'Ba', 'N', 'Cl', 'Ga', 'Br', 'Mg', 'F'}"
19,6,Ag282BaBr2ClGaMgN2S140,"[0.        +0.0011832j  0.        +0.00092125j 0.        +0.00082761j ...
 0.04063167+0.j         0.04112334+0.j         0.05056259+0.j        ]","{'O', 'In', 'Ba', 'N', 'Cl', 'Ga', 'Br', 'Mg', 'F'}"
23,0,Cl192Cu192O96,"[0.00000000e+00+2.05610556e-05j 0.00000000e+00+1.66451281e-05j
 2.77267651e-05+0.00000000e+00j ... 5.37001247e-02+0.00000000e+00j
 5.37002200e-02+0.00000000e+00j 5.42901104e-02+0.00000000e+00j]","{'O', 'Si', 'Cu', 'Cl', 'Na', 'S', 'K', 'Li', 'Ge', 'F'}"
23,1,Cl182Cu190FLiO90S3,"[0.        +3.73129039e-03j 0.        +2.84346230e-03j
 0.        +1.65329110e-05j ... 0.06194298+0.00000000e+00j
 0.06204734+0.00000000e+00j 0.06765377+0.00000000e+00j]","{'O', 'Si', 'Cu', 'Cl', 'Na', 'S', 'K', 'Li', 'Ge', 'F'}"
23,2,Cl185Cu188K2O94,"[0.        +2.27348507e-03j 0.        +1.92379059e-05j
 0.        +5.75461556e-06j ... 0.0736494 +0.00000000e+00j
 0.07569287+0.00000000e+00j 0.07594847+0.00000000e+00j]","{'O', 'Si', 'Cu', 'Cl', 'Na', 'S', 'K', 'Li', 'Ge', 'F'}"
23,3,Cl186Cu189KLiO94S,"[0.00000000e+00+2.13148624e-05j 4.69425272e-06+0.00000000e+00j
 1.36509045e-05+0.00000000e+00j ... 6.28547891e-02+0.00000000e+00j
 6.34854504e-02+0.00000000e+00j 6.49601846e-02+0.00000000e+00j]","{'O', 'Si', 'Cu', 'Cl', 'Na', 'S', 'K', 'Li', 'Ge', 'F'}"
23,4,Cl189Cu190FK2LiO95,"[0.00000000e+00+1.63946901e-05j 1.43612775e-05+0.00000000e+00j
 1.77584915e-05+0.00000000e+00j ... 6.03517029e-02+0.00000000e+00j
 6.04928849e-02+0.00000000e+00j 6.05997848e-02+0.00000000e+00j]","{'O', 'Si', 'Cu', 'Cl', 'Na', 'S', 'K', 'Li', 'Ge', 'F'}"
23,5,Cl185Cu186F2GeK2NaO92S3Si,"[0.00000000e+00+2.05218293e-05j 0.00000000e+00+3.87173341e-06j
 2.45132037e-05+0.00000000e+00j ... 7.63413736e-02+0.00000000e+00j
 9.42245849e-02+0.00000000e+00j 1.05989874e-01+0.00000000e+00j]","{'O', 'Si', 'Cu', 'Cl', 'Na', 'S', 'K', 'Li', 'Ge', 'F'}"
23,6,Cl187Cu185F3GeO92Si,"[0.00000000e+00+1.08427305e-03j 0.00000000e+00+8.42039437e-06j
 1.29049277e-05+0.00000000e+00j ... 7.31351153e-02+0.00000000e+00j
 9.70720551e-02+0.00000000e+00j 1.05305827e-01+0.00000000e+00j]","{'O', 'Si', 'Cu', 'Cl', 'Na', 'S', 'K', 'Li', 'Ge', 'F'}"
24,0,Ag48Fe96Ga48Te192,"[0.00000000e+00+1.32691561e-05j 0.00000000e+00+7.47263868e-06j
 2.33820099e-06+0.00000000e+00j ... 2.09463065e-02+0.00000000e+00j
 2.09503000e-02+0.00000000e+00j 2.09504797e-02+0.00000000e+00j]","{'Mn', 'Cd', 'Tl', 'Na', 'Ag', 'Hg'}"
24,1,Ag49Fe94Ga44Na3Te189,"[0.00000000e+00+1.45836219e-03j 0.00000000e+00+1.40766411e-06j
 5.28247155e-06+0.00000000e+00j ... 2.70761967e-02+0.00000000e+00j
 2.82647601e-02+0.00000000e+00j 2.90020011e-02+0.00000000e+00j]","{'Mn', 'Cd', 'Tl', 'Na', 'Ag', 'Hg'}"
24,3,Ag47Fe95Ga48NaTe192,"[0.00000000e+00+7.45484200e-06j 0.00000000e+00+3.21081942e-06j
 7.61175326e-06+0.00000000e+00j ... 2.22785986e-02+0.00000000e+00j
 2.22803399e-02+0.00000000e+00j 2.23256961e-02+0.00000000e+00j]","{'Mn', 'Cd', 'Tl', 'Na', 'Ag', 'Hg'}"
26,0,Cl144I144Sn144,"[0.00000000e+00+1.42911767e-05j 0.00000000e+00+7.14255887e-06j
 9.26794001e-06+0.00000000e+00j ... 2.38919374e-02+0.00000000e+00j
 2.38920463e-02+0.00000000e+00j 2.39836819e-02+0.00000000e+00j]","{'O', 'Mn', 'Sn', 'S', 'Co', 'Fe', 'Cs', 'Rb', 'Cr'}"
26,1,Cl141CsI135O2RbS4Sn138,"[0.00000000e+00+1.02328789e-05j 8.55424459e-06+0.00000000e+00j
 1.21882908e-05+0.00000000e+00j ... 4.77232229e-02+0.00000000e+00j
 4.88483308e-02+0.00000000e+00j 5.39711545e-02+0.00000000e+00j]","{'O', 'Mn', 'Sn', 'S', 'Co', 'Fe', 'Cs', 'Rb', 'Cr'}"
26,2,Cl140CoCs2I141MnO3SSn135,"[0.        +2.85709638e-03j 0.        +1.19141417e-03j
 0.        +9.76426137e-06j ... 0.04600514+0.00000000e+00j
 0.04641074+0.00000000e+00j 0.04669449+0.00000000e+00j]","{'O', 'Mn', 'Sn', 'S', 'Co', 'Fe', 'Cs', 'Rb', 'Cr'}"
26,3,Cl137CrCsI140O3SSn137,"[0.        +1.34057677e-03j 0.        +9.39454170e-06j
 0.        +5.26111017e-06j ... 0.04706733+0.00000000e+00j
 0.05166956+0.00000000e+00j 0.05328055+0.00000000e+00j]","{'O', 'Mn', 'Sn', 'S', 'Co', 'Fe', 'Cs', 'Rb', 'Cr'}"
26,4,Cl140Co2FeI138O2S2Sn138,"[0.00000000e+00+9.17359150e-06j 0.00000000e+00+1.52898025e-06j
 9.75014453e-06+0.00000000e+00j ... 4.55550778e-02+0.00000000e+00j
 5.11127380e-02+0.00000000e+00j 5.33699346e-02+0.00000000e+00j]","{'O', 'Mn', 'Sn', 'S', 'Co', 'Fe', 'Cs', 'Rb', 'Cr'}"
26,5,Cl140FeI140O3S2Sn140,"[0.00000000e+00+2.19027388e-06j 5.58978680e-06+0.00000000e+00j
 9.25267936e-06+0.00000000e+00j ... 5.13406405e-02+0.00000000e+00j
 5.29330899e-02+0.00000000e+00j 5.35288058e-02+0.00000000e+00j]","{'O', 'Mn', 'Sn', 'S', 'Co', 'Fe', 'Cs', 'Rb', 'Cr'}"
26,6,Cl138I137O3S3Sn140,"[0.00000000e+00+8.06075716e-06j 0.00000000e+00+3.26466958e-06j
 9.32235315e-06+0.00000000e+00j ... 4.63859579e-02+0.00000000e+00j
 4.65960247e-02+0.00000000e+00j 4.75354414e-02+0.00000000e+00j]","{'O', 'Mn', 'Sn', 'S', 'Co', 'Fe', 'Cs', 'Rb', 'Cr'}"
27,0,B72Co108O216,"[0.00000000e+00+5.45103979e-05j 4.16611089e-05+0.00000000e+00j
 7.79053288e-05+0.00000000e+00j ... 1.34564323e-01+0.00000000e+00j
 1.34564706e-01+0.00000000e+00j 1.34564725e-01+0.00000000e+00j]","{'O', 'Sn', 'Ge', 'Cl', 'Na', 'K', 'Ag', 'Li', 'C', 'F'}"
27,1,CB71ClCo104FKO212Sn,"[0.00000000e+00+4.59667250e-05j 0.00000000e+00+3.46482406e-05j
 1.87820172e-05+0.00000000e+00j ... 1.52168962e-01+0.00000000e+00j
 1.53416973e-01+0.00000000e+00j 1.82005901e-01+0.00000000e+00j]","{'O', 'Sn', 'Ge', 'Cl', 'Na', 'K', 'Ag', 'Li', 'C', 'F'}"
27,2,B70Co105KLiO215,"[0.00000000e+00+3.18517975e-05j 3.47722192e-05+0.00000000e+00j
 4.97043854e-05+0.00000000e+00j ... 1.44033431e-01+0.00000000e+00j
 1.49856551e-01+0.00000000e+00j 1.53308315e-01+0.00000000e+00j]","{'O', 'Sn', 'Ge', 'Cl', 'Na', 'K', 'Ag', 'Li', 'C', 'F'}"
27,3,C2B69Cl3Co102F3GeO207,"[0.00000000e+00+1.27842818e-02j 0.00000000e+00+2.37973306e-05j
 1.06640850e-05+0.00000000e+00j ... 1.63315655e-01+0.00000000e+00j
 1.70744326e-01+0.00000000e+00j 1.76333547e-01+0.00000000e+00j]","{'O', 'Sn', 'Ge', 'Cl', 'Na', 'K', 'Ag', 'Li', 'C', 'F'}"
30,0,Ag72In72S216Si36,"[0.00000000e+00+1.51372725e-05j 0.00000000e+00+3.19724816e-06j
 1.03054307e-05+0.00000000e+00j ... 5.86278252e-02+0.00000000e+00j
 5.86278658e-02+0.00000000e+00j 5.86278795e-02+0.00000000e+00j]","{'O', 'In', 'As', 'Cl', 'K', 'Na', 'Li', 'V', 'Zn', 'P'}"
30,1,Ag70Cl2In72OS213Si35,"[0.00000000e+00+1.20683192e-05j 0.00000000e+00+7.52490844e-06j
 1.63676324e-05+0.00000000e+00j ... 5.94443155e-02+0.00000000e+00j
 6.30485384e-02+0.00000000e+00j 1.06613693e-01+0.00000000e+00j]","{'O', 'In', 'As', 'Cl', 'K', 'Na', 'Li', 'V', 'Zn', 'P'}"
30,2,Ag70ClIn69K2NaS212Si35,"[0.        +0.0063997j  0.        +0.00221384j 0.        +0.00205614j ...
 0.06052803+0.j         0.06091921+0.j         0.06168492+0.j        ]","{'O', 'In', 'As', 'Cl', 'K', 'Na', 'Li', 'V', 'Zn', 'P'}"
31,0,Rb108S216Sb108,"[0.00000000e+00+9.74718555e-06j 6.55492577e-06+0.00000000e+00j
 1.38993773e-05+0.00000000e+00j ... 3.66475640e-02+0.00000000e+00j
 3.67886699e-02+0.00000000e+00j 3.67887104e-02+0.00000000e+00j]","{'In', 'Er', 'Ba', 'Sr', 'Cl', 'Tl', 'Pb', 'Sb', 'K', 'S'}"
31,1,Cl3InKRb107S211Sb104,"[0.00000000e+00+3.75735629e-06j 7.49678551e-06+0.00000000e+00j
 1.05546333e-05+0.00000000e+00j ... 4.34831426e-02+0.00000000e+00j
 4.36574723e-02+0.00000000e+00j 4.37763946e-02+0.00000000e+00j]","{'In', 'Er', 'Ba', 'Sr', 'Cl', 'Tl', 'Pb', 'Sb', 'K', 'S'}"
31,2,BaCl4KRb105S209Sb103Sr,"[0.        +1.29720581e-05j 0.        +9.79471418e-06j
 0.        +5.12106393e-06j ... 0.04467591+0.00000000e+00j
 0.04896781+0.00000000e+00j 0.05098713+0.00000000e+00j]","{'In', 'Er', 'Ba', 'Sr', 'Cl', 'Tl', 'Pb', 'Sb', 'K', 'S'}"
31,3,Ba3Cl5InKRb104S208Sb104,"[0.00000000e+00+1.12874677e-05j 0.00000000e+00+6.97788657e-06j
 1.65337470e-05+0.00000000e+00j ... 4.12395874e-02+0.00000000e+00j
 4.15022150e-02+0.00000000e+00j 4.29588034e-02+0.00000000e+00j]","{'In', 'Er', 'Ba', 'Sr', 'Cl', 'Tl', 'Pb', 'Sb', 'K', 'S'}"
32,0,Cs72Mn72O288,"[0.00000000e+00+4.77389562e-05j 0.00000000e+00+1.94692908e-05j
 2.96002913e-05+0.00000000e+00j ... 1.11070822e-01+0.00000000e+00j
 1.11084563e-01+0.00000000e+00j 1.11084847e-01+0.00000000e+00j]","{'F', 'Ba', 'Sr', 'Ca', 'Cl', 'B', 'Ga', 'S', 'Cr', 'P'}"
32,1,CaCl2CrCs67F3Mn69O278Sr,"[0.        +0.00447291j 0.        +0.00226931j 0.        +0.00201905j ...
 0.16393004+0.j         0.17419543+0.j         0.17538597+0.j        ]","{'F', 'Ba', 'Sr', 'Ca', 'Cl', 'B', 'Ga', 'S', 'Cr', 'P'}"
32,3,Ba3Cl2Cs67F4Mn72O279Sr,"[0.00000000e+00+4.52805592e-05j 0.00000000e+00+2.06214598e-05j
 3.90381312e-05+0.00000000e+00j ... 1.16249002e-01+0.00000000e+00j
 1.16321906e-01+0.00000000e+00j 1.16347008e-01+0.00000000e+00j]","{'F', 'Ba', 'Sr', 'Ca', 'Cl', 'B', 'Ga', 'S', 'Cr', 'P'}"
32,4,BCl6Cs69F2Mn68O275PSSr,"[0.00000000e+00+2.51886316e-03j 0.00000000e+00+3.29845979e-05j
 2.02311198e-05+0.00000000e+00j ... 1.66339226e-01+0.00000000e+00j
 1.66865829e-01+0.00000000e+00j 2.24116003e-01+0.00000000e+00j]","{'F', 'Ba', 'Sr', 'Ca', 'Cl', 'B', 'Ga', 'S', 'Cr', 'P'}"
33,0,As54K54Ni54O216,"[0.00000000e+00+3.6017749e-05j 3.17024312e-05+0.0000000e+00j
 4.99356834e-05+0.0000000e+00j ... 9.90861100e-02+0.0000000e+00j
 9.90873164e-02+0.0000000e+00j 9.94080688e-02+0.0000000e+00j]","{'Si', 'Ba', 'Sr', 'Cl', 'Na', 'Li', 'Fe', 'Ge', 'F'}"
33,1,As52BaClF2FeGeK52NaNi52O209Sr,"[0.00000000e+00+3.23994658e-05j 1.09220880e-05+0.00000000e+00j
 4.55968058e-05+0.00000000e+00j ... 1.01968968e-01+0.00000000e+00j
 1.02683043e-01+0.00000000e+00j 1.05237529e-01+0.00000000e+00j]","{'Si', 'Ba', 'Sr', 'Cl', 'Na', 'Li', 'Fe', 'Ge', 'F'}"
33,2,As52Cl3FeK52NaNi52O209Si,"[0.00000000e+00+1.56510591e-05j 1.19907931e-05+0.00000000e+00j
 4.73959750e-05+0.00000000e+00j ... 1.02383405e-01+0.00000000e+00j
 1.04736999e-01+0.00000000e+00j 1.08326342e-01+0.00000000e+00j]","{'Si', 'Ba', 'Sr', 'Cl', 'Na', 'Li', 'Fe', 'Ge', 'F'}"
33,3,As50ClF3K53Li4Ni52O208Sr,"[0.00000000e+00+3.12612178e-05j 0.00000000e+00+1.43763447e-05j
 3.40931569e-05+0.00000000e+00j ... 1.03866772e-01+0.00000000e+00j
 1.04312577e-01+0.00000000e+00j 1.07586577e-01+0.00000000e+00j]","{'Si', 'Ba', 'Sr', 'Cl', 'Na', 'Li', 'Fe', 'Ge', 'F'}"
34,0,Cu72O288S72,"[0.00000000e+00+5.90800167e-05j 0.00000000e+00+2.81990944e-05j
 6.97970830e-05+0.00000000e+00j ... 1.36206959e-01+0.00000000e+00j
 1.36314944e-01+0.00000000e+00j 1.36315035e-01+0.00000000e+00j]","{'F', 'Mn', 'Cu', 'Cl', 'B', 'Be', 'Ge', 'Zn', 'P'}"
34,1,BCl2Cu71F3O279PS67,"[0.00000000e+00+4.75884235e-05j 0.00000000e+00+1.52845323e-05j
 5.83564091e-05+0.00000000e+00j ... 1.50162859e-01+0.00000000e+00j
 1.54140923e-01+0.00000000e+00j 1.58350395e-01+0.00000000e+00j]","{'F', 'Mn', 'Cu', 'Cl', 'B', 'Be', 'Ge', 'Zn', 'P'}"
42,0,Br250Cd125,"[0.00000000e+00+1.09904141e-05j 0.00000000e+00+6.44704947e-06j
 7.85244627e-06+0.00000000e+00j ... 1.96882121e-02+0.00000000e+00j
 2.05455518e-02+0.00000000e+00j 2.05457316e-02+0.00000000e+00j]","{'O', 'Sn', 'Na', 'S', 'K', 'Ge', 'Se', 'Rb', 'Cr'}"
42,1,Br243Cd119GeO3S,"[0.00000000e+00+1.01755819e-05j 0.00000000e+00+5.65862233e-06j
 9.88544905e-06+0.00000000e+00j ... 8.05562890e-02+0.00000000e+00j
 8.12605766e-02+0.00000000e+00j 8.21490502e-02+0.00000000e+00j]","{'O', 'Sn', 'Na', 'S', 'K', 'Ge', 'Se', 'Rb', 'Cr'}"
42,3,Br243Cd122CrKRb,"[0.00000000e+00+1.22764146e-03j 0.00000000e+00+6.81635724e-06j
 7.30790485e-06+0.00000000e+00j ... 2.74233649e-02+0.00000000e+00j
 2.78069386e-02+0.00000000e+00j 2.86704864e-02+0.00000000e+00j]","{'O', 'Sn', 'Na', 'S', 'K', 'Ge', 'Se', 'Rb', 'Cr'}"
42,4,Br246Cd122CrGeKNaRbSe,"[0.        +8.83750882e-04j 0.        +3.89378362e-04j
 0.        +1.06787239e-05j ... 0.02873656+0.00000000e+00j
 0.02882474+0.00000000e+00j 0.02971722+0.00000000e+00j]","{'O', 'Sn', 'Na', 'S', 'K', 'Ge', 'Se', 'Rb', 'Cr'}"
42,5,Br245Cd121KNaRb2S,"[0.00000000e+00+5.37942383e-06j 6.54628367e-06+0.00000000e+00j
 7.02919331e-06+0.00000000e+00j ... 2.94673516e-02+0.00000000e+00j
 3.03269536e-02+0.00000000e+00j 3.30144537e-02+0.00000000e+00j]","{'O', 'Sn', 'Na', 'S', 'K', 'Ge', 'Se', 'Rb', 'Cr'}"
42,6,Br238Cd123GeKO4S2Se,"[0.00000000e+00+9.7736642e-06j 6.59319771e-06+0.0000000e+00j
 8.02601831e-06+0.0000000e+00j ... 5.08747938e-02+0.0000000e+00j
 5.91080975e-02+0.0000000e+00j 8.07647700e-02+0.0000000e+00j]","{'O', 'Sn', 'Na', 'S', 'K', 'Ge', 'Se', 'Rb', 'Cr'}"
44,0,Cr36Cs108F252,"[0.        +0.00309987j 0.        +0.00309856j 0.        +0.00309824j ...
 0.06252859+0.j         0.0625288 +0.j         0.06260772+0.j        ]","{'O', 'Cd', 'Ba', 'Sr', 'Co', 'Bi', 'As', 'Ca'}"
44,1,Cr34Cs108F247O3,"[0.        +0.00398731j 0.        +0.00351732j 0.        +0.00268065j ...
 0.10001208+0.j         0.10140123+0.j         0.10317245+0.j        ]","{'O', 'Cd', 'Ba', 'Sr', 'Co', 'Bi', 'As', 'Ca'}"
44,2,BaCaCr33Cs105F249,"[0.        +0.00238436j 0.        +0.00224231j 0.        +0.00166585j ...
 0.0685876 +0.j         0.07005143+0.j         0.07059211+0.j        ]","{'O', 'Cd', 'Ba', 'Sr', 'Co', 'Bi', 'As', 'Ca'}"
44,3,CaCr36Cs105F246O5,"[0.        +0.00164478j 0.        +0.00152808j 0.        +0.00079567j ...
 0.0970001 +0.j         0.099737  +0.j         0.10052296+0.j        ]","{'O', 'Cd', 'Ba', 'Sr', 'Co', 'Bi', 'As', 'Ca'}"
44,5,Ba2Ca2CdCr34Cs103F250OSr,"[0.        +0.00452183j 0.        +0.00313466j 0.        +0.0019946j  ...
 0.06605366+0.j         0.06742616+0.j         0.06756385+0.j        ]","{'O', 'Cd', 'Ba', 'Sr', 'Co', 'Bi', 'As', 'Ca'}"
44,6,Cr35Cs106F245O4Sr,"[0.        +3.16410555e-03j 0.        +2.39229219e-03j
 0.        +2.13595534e-05j ... 0.09917762+0.00000000e+00j
 0.10188966+0.00000000e+00j 0.11942642+0.00000000e+00j]","{'O', 'Cd', 'Ba', 'Sr', 'Co', 'Bi', 'As', 'Ca'}"
45,0,Cu96Na192P96,"[0.        +3.11997049e-05j 0.        +1.46962426e-05j
 0.        +1.15154640e-05j ... 0.04623089+0.00000000e+00j
 0.04623414+0.00000000e+00j 0.04623417+0.00000000e+00j]","{'O', 'Cd', 'U', 'N', 'Tl', 'Hg', 'F'}"
45,2,CdCu96FNNa186P94,"[0.00000000e+00+0.00298021j 0.00000000e+00+0.00206991j
 5.21654284e-06+0.j         ... 4.89971014e-02+0.j
 6.44165781e-02+0.j         7.24054348e-02+0.j        ]","{'O', 'Cd', 'U', 'N', 'Tl', 'Hg', 'F'}"
45,3,CdCu93FNNa189OP93,"[0.        +7.22226557e-03j 0.        +3.70141994e-03j
 0.        +1.66697498e-05j ... 0.06403246+0.00000000e+00j
 0.0654637 +0.00000000e+00j 0.07248207+0.00000000e+00j]","{'O', 'Cd', 'U', 'N', 'Tl', 'Hg', 'F'}"
46,0,Na144P72S216,"[0.        +2.78932711e-05j 0.        +2.24911252e-05j
 0.        +1.21871125e-05j ... 0.05825597+0.00000000e+00j
 0.0582561 +0.00000000e+00j 0.05851782+0.00000000e+00j]","{'O', 'F', 'Er', 'Ca', 'N', 'Sb', 'W', 'Li', 'Ho', 'P'}"
