,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
6519,78677,Fe1O6Sr2W1_78677.json,"[Species F-, Species La3+, Species W6+, Species Sn4+, Species Cl-]","[Species O2-, Species Sr2+, Species Fe2+, Species Fe2+, Species O2-]","[Species Na+, Species Cs+, Species Re5+, Species Na+, Species Rb+]","[Species W6+, Species Sr2+, Species W6+, Species Fe2+, Species Sr2+]"
6520,420807,Br1C1Cu1H2N2_420807.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6521,201156,F2H3N1O2Te1_201156.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6522,201836,Br3Rb1V1_201836.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6523,62150,Cd1O3Ti1_62150.json,"[Species F-, Species Ta5+, Species Cl-, Species Nb5+, Species Ge4+]","[Species O2-, Species Ti4+, Species O2-, Species Ti4+, Species Cd2+]","[Species Na+, Species Na+, Species Zn2+, Species Mn2+, Species Mg2+]","[Species Cd2+, Species Ti4+, Species Ti4+, Species Ti4+, Species Ti4+]"
6524,63705,Ca3O7Ti2_63705.json,"[Species F-, Species La3+, Species Ta5+, Species Cl-, Species Nd3+]","[Species O2-, Species Ca2+, Species Ti4+, Species O2-, Species Ca2+]","[Species Na+, Species K+, Species Cs+, Species Na+, Species Zn2+]","[Species Ca2+, Species Ca2+, Species Ca2+, Species Ti4+, Species Ti4+]"
6525,35416,Na1O4Pb1Rb3_35416.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6526,420852,Ag2I6O18Ti1_420852.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6527,651245,S1Tl2_651245.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6528,413241,Cs2Pt1_413241.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6529,14174,Ba2Ge2O1S6Zn1_14174.json,"[Species F-, Species Si4+, Species P5+, Species Ge4+, Species As5+]","[Species O2-, Species Zn2+, Species Ge4+, Species Zn2+, Species Ge4+]","[Species Cs+, Species Rb+, Species K+, Species Na+, Species Zn2+]","[Species Ba2+, Species Ba2+, Species Ba2+, Species Zn2+, Species Ge4+]"
6530,84033,Ge2Mn1O7Sr2_84033.json,"[Species F-, Species La3+, Species P5+, Species As5+, Species Cl-]","[Species O2-, Species Sr2+, Species Ge4+, Species Ge4+, Species O2-]","[Species Cs+, Species Na+, Species Rb+, Species K+, Species Zn2+]","[Species Sr2+, Species Mn2+, Species Sr2+, Species Sr2+, Species Ge4+]"
6531,237487,Fe1La1Na1O6W1_237487.json,"[Species F-, Species Ca2+, Species Sb5+, Species Cl-, Species Er3+]","[Species O2-, Species Na+, Species Na+, Species O2-, Species Na+]","[Species Sr2+, Species Cr3+, Species Na+, Species Ba2+, Species Na+]","[Species La3+, Species W5+, Species Fe3+, Species La3+, Species La3+]"
6532,85405,Cu1O7Rb4Si2_85405.json,"[Species Ba2+, Species F-, Species Sr2+, Species Ge4+, Species P5+]","[Species Rb+, Species O2-, Species Rb+, Species Cu2+, Species Si4+]","[Species Li+, Species Zn2+, Species Cu+, Species Be2+, Species Mg2+]","[Species Si4+, Species Si4+, Species Cu2+, Species Si4+, Species Si4+]"
6533,171346,F2S3Sn1Sr2_171346.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6534,417245,F4O1Os1_417245.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6535,631817,Fe1Ga2Se4_631817.json,"[Species W6+, Species Sn4+, Species Cr3+, Species Ge4+, Species Sb5+]","[Species Fe2+, Species Fe2+, Species Fe2+, Species Fe2+, Species Fe2+]","[Species Na+, Species Cs+, Species Ba2+, Species N3-, Species Li+]","[Species Fe2+, Species Ga3+, Species Ga3+, Species Se2-, Species Ga3+]"
6536,168794,H1Li4N1_168794.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6537,409818,P1Rb3S4_409818.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6538,237300,F5H4K1_237300.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6539,79204,Co1O9Se3Sr2_79204.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6540,60138,K1S2Sb1_60138.json,"[Species Ba2+, Species Sr2+, Species Cl-, Species Ca2+, Species Sb5+]","[Species K+, Species K+, Species S2-, Species K+, Species Sb3+]","[Species Pb2+, Species K+, Species S2-, Species Tl+, Species In+]","[Species Sb3+, Species Sb3+, Species Sb3+, Species Sb3+, Species Sb3+]"
6541,165167,Cd1O3Sn1_165167.json,"[Species F-, Species Cl-, Species Ta5+, Species Ge4+, Species Sn4+]","[Species O2-, Species O2-, Species Sn4+, Species Cd2+, Species Cd2+]","[Species Na+, Species Co2+, Species Cd2+, Species Li+, Species Fe2+]","[Species Cd2+, Species Sn4+, Species Sn4+, Species Sn4+, Species Sn4+]"
6542,10431,In1O4V1_10431.json,"[Species F-, Species Cr6+, Species Cl-, Species W6+, Species Sb5+]","[Species O2-, Species V5+, Species O2-, Species In3+, Species In3+]","[Species Na+, Species Si4+, Species Y3+, Species K+, Species Cs+]","[Species In3+, Species V5+, Species V5+, Species In3+, Species In3+]"
6543,15035,As1Li1Mo1O6_15035.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6544,24134,Fe2O5Ti1_24134.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6545,81976,Cl2Pb1_81976.json,"[Species Bi3+, Species K+, Species Cr3+, Species Rb+, Species Na+]","[Species Pb2+, Species Cl-, Species Pb2+, Species Cl-, Species Cl-]","[Species O2-, Species Cs+, Species Rb+, Species K+, Species S2-]","[Species Cl-, Species Pb2+, Species Pb2+, Species Pb2+, Species Cl-]"
6546,65142,K3Sb1Se4_65142.json,"[Species Ba2+, Species Mo6+, Species Sr2+, Species Ca2+, Species W6+]","[Species K+, Species Sb5+, Species K+, Species K+, Species Sb5+]","[Species Na+, Species K+, Species N3-, Species Fe3+, Species Ca2+]","[Species Sb5+, Species Sb5+, Species Se2-, Species Sb5+, Species Sb5+]"
6547,26422,Fe1I3Tl1_26422.json,"[Species Ba2+, Species Sr2+, Species Er3+, Species W6+, Species Sn4+]","[Species Tl+, Species Tl+, Species Tl+, Species Fe2+, Species Fe2+]","[Species O2-, Species S2-, Species Na+, Species Li+, Species K+]","[Species I-, Species I-, Species Fe2+, Species Fe2+, Species Fe2+]"
6548,247676,C1N2_247676.json,"[Species P5+, Species S6+, Species Cl7+, Species Mn7+, Species Br7+]","[Species C4+, Species C4+, Species C4+, Species C4+, Species C4+]","[Species B3+, Species Be2+, Species Al3+, Species Ga3+, Species Fe3+]","[Species C4+, Species C4+, Species C4+, Species C4+, Species C4+]"
6549,195339,Cu1P1S3Tl1_195339.json,"[Species Ba2+, Species P4+, Species Sr2+, Species Er3+, Species Ge4+]","[Species Tl+, Species P3+, Species Tl+, Species Tl+, Species Cu2+]","[Species Zn2+, Species Tl+, Species Cu+, Species N3-, Species Li+]","[Species P3+, Species P3+, Species Cu2+, Species S2-, Species Cu2+]"
6550,401395,Al1I7Te1_401395.json,"[Species K+, Species Cs+, Species Si4+, Species Rb+, Species Tl+]","[Species I-, Species I-, Species Al3+, Species I-, Species I-]","[Species O2-, Species S2-, Species Li+, Species Na+, Species La3+]","[Species I-, Species I-, Species Al3+, Species Al3+, Species Te4+]"
6551,9255,O9Te2V2_9255.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6552,36460,Ca1O6Sr2W1_36460.json,"[Species F-, Species La3+, Species La3+, Species Cl-, Species Nd3+]","[Species O2-, Species Sr2+, Species Ca2+, Species O2-, Species Ca2+]","[Species Na+, Species Cs+, Species Na+, Species Re5+, Species Rb+]","[Species W6+, Species Sr2+, Species Ca2+, Species W6+, Species Sr2+]"
6553,174433,Cr1Ge2Na1O6_174433.json,"[Species F-, Species P5+, Species As5+, Species Ca2+, Species Sb5+]","[Species O2-, Species Ge4+, Species Ge4+, Species Na+, Species Na+]","[Species Na+, Species Zn2+, Species Cd2+, Species Co2+, Species K+]","[Species Cr3+, Species Ge4+, Species Ge4+, Species Ge4+, Species Cr3+]"
6554,173419,P1Rb1Se3_173419.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6555,424465,Br10Co1Y6_424465.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6556,90956,Ge1Se2_90956.json,"[Species P5+, Species As5+, Species V5+, Species Ca2+, Species Cl-]","[Species Ge4+, Species Ge4+, Species Ge4+, Species Se2-, Species Se2-]","[Species Zn2+, Species N3-, Species Cd2+, Species Co2+, Species Li+]","[Species Ge4+, Species Se2-, Species Ge4+, Species Ge4+, Species Ge4+]"
6557,195253,Ga1Se8V4_195253.json,"[Species Nb5+, Species Ta5+, Species Tc4+, Species Mo4+, Species Re4+]","[Species V3.25+, Species V3.25+, Species V3.25+, Species V3.25+, Species V3.25+]","[Species Ga3+, Species Cr3+, Species Rh3+, Species Ru3+, Species Ir3+]","[Species V3.25+, Species V3.25+, Species V3.25+, Species V3.25+, Species V3.25+]"
6558,81658,Cd3K2Te4_81658.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6559,406829,Cr3O8P2_406829.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6560,54831,Cu5H4O12V2_54831.json,"[Species F-, Species Cr6+, Species Ge4+, Species Cl-, Species Si4+]","[Species O2-, Species V5+, Species Cu2+, Species O2-, Species Cu2+]","[Species Si4+, Species Y3+, Species Cu+, Species Tb3+, Species Ge4+]","[Species V5+, Species V5+, Species Cu2+, Species V5+, Species V5+]"
6561,26165,F6Pd1Zn1_26165.json,"[Species Si4+, Species Ge4+, Species W6+, Species Mo6+, Species Re5+]","[Species Zn2+, Species Zn2+, Species Zn2+, Species Zn2+, Species Zn2+]","[Species O2-, Species Cd2+, Species Na+, Species Cu+, Species Zn2+]","[Species F-, Species Pd4+, Species Zn2+, Species Zn2+, Species Pd4+]"
6562,84092,Br3Li6N1_84092.json,"[Species O2-, Species S2-, Species Se2-, Species F-, Species Li+]","[Species N3-, Species N3-, Species N3-, Species N3-, Species N3-]","[Species O2-, Species S2-, Species O2-, Species F-, Species Se2-]","[Species Br-, Species Br-, Species Li+, Species Li+, Species Br-]"
6563,100063,Ca1Cd2P2_100063.json,"[Species Ce3+, Species Pr3+, Species Nd3+, Species Am3+, Species Tl3+]","[Species Ca2+, Species Ca2+, Species Ca2+, Species Ca2+, Species Cd2+]","[Species Na+, Species Ag+, Species Hg+, Species Li+, Species Na+]","[Species Ca2+, Species Ca2+, Species Ca2+, Species Cd2+, Species Cd2+]"
6564,43098,P2Si1_43098.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6565,85581,Au1Cd1Cs1S2_85581.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6566,165335,Cl4Re1Te2_165335.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6567,67560,Li7N4Ta1_67560.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6568,41107,As4Ge1Te7_41107.json,"[Species I7+, Species V5+, Species Tc7+, Species Te6+, Species Mo6+]","[Species Ge4+, Species Ge4+, Species Ge4+, Species Ge4+, Species Ge4+]","[Species Al3+, Species As3+, Species Be2+, Species Cr3+, Species Ga3+]","[Species Ge4+, Species Ge4+, Species Ge4+, Species Ge4+, Species Ge4+]"
6569,280786,H1Mn1O5Pb1V1_280786.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6570,61696,Fe3Na1O12P3_61696.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6571,15477,S1Zn1_15477.json,"[Species Si4+, Species Ge4+, Species Cl-, Species W6+, Species Mo6+]","[Species Zn2+, Species Zn2+, Species S2-, Species Zn2+, Species Zn2+]","[Species Na+, Species Cu+, Species N3-, Species K+, Species Li+]","[Species Zn2+, Species Zn2+, Species S2-, Species Zn2+, Species Zn2+]"
6572,68124,Cs3Se4Ta1_68124.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6573,62064,Au1Cs1K2O2_62064.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6574,42884,As1Cu1Se2_42884.json,"[Species Zn2+, Species Hg2+, Species Cu2+, Species In3+, Species Ga3+]","[Species Cu+, Species Cu+, Species Cu+, Species Cu+, Species Cu+]","[Species Rb+, Species Na+, Species Li+, Species Cs+, Species Tl+]","[Species As3+, Species As3+, Species As3+, Species As3+, Species As3+]"
6575,9905,Au1F4Na1_9905.json,"[Species W6+, Species Sb5+, Species Ca2+, Species Sb5+, Species Er3+]","[Species Au3+, Species Au3+, Species Na+, Species Na+, Species Na+]","[Species O2-, Species Na+, Species K+, Species Ca2+, Species Pd2+]","[Species F-, Species Au3+, Species Au3+, Species Au3+, Species Au3+]"
6576,236456,Bi2F1Nb1O5_236456.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6577,415570,Ag2C4Cu1K1N4_415570.json,"[Species O2-, Species S2-, Species Se2-, Species Ba2+, Species F-]","[Species N3-, Species N3-, Species N3-, Species K+, Species N3-]","[Species N3-, Species O2-, Species O2-, Species H+, Species O2-]","[Species C2+, Species Ag+, Species Cu+, Species C2+, Species K+]"
6578,21018,Fe2O12S3_21018.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6579,68098,C1I2O1Pt1_68098.json,"[Species F-, Species Ru4+, Species Ti4+, Species Mn4+, Species Cl-]","[Species O2-, Species Pt2+, Species Pt2+, Species Pt2+, Species O2-]","[Species O2-, Species Cu+, Species S2-, Species N3-, Species Ag+]","[Species I-, Species Pt2+, Species I-, Species C2+, Species Pt2+]"
6580,71650,Au1Na1Te1_71650.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6581,53093,In1Li1S2_53093.json,"[Species Si4+, Species Er3+, Species Ho3+, Species Cl-, Species W6+]","[Species Li+, Species Li+, Species Li+, Species S2-, Species In3+]","[Species Na+, Species O2-, Species K+, Species Cs+, Species Mg2+]","[Species In3+, Species Li+, Species In3+, Species In3+, Species In3+]"
6582,66865,Cu1In1S2_66865.json,"[Species Zn2+, Species Hg2+, Species Cl-, Species Cu2+, Species W6+]","[Species Cu+, Species Cu+, Species S2-, Species Cu+, Species In3+]","[Species Na+, Species K+, Species Cs+, Species Mg2+, Species Li+]","[Species In3+, Species In3+, Species In3+, Species In3+, Species In3+]"
6583,193538,Bi1O6V1Zn2_193538.json,"[Species F-, Species Si4+, Species Cr6+, Species Ge4+, Species Cl-]","[Species O2-, Species Zn2+, Species V5+, Species Zn2+, Species O2-]","[Species Si4+, Species Na+, Species Y3+, Species Cu+, Species Tb3+]","[Species V5+, Species Zn2+, Species V5+, Species Zn2+, Species V5+]"
6584,35407,Cd1O6Pt3_35407.json,"[Species Pm3+, Species Nd3+, Species K+, Species Am3+, Species Po4+]","[Species Cd2+, Species Cd2+, Species O2-, Species Cd2+, Species Cd2+]","[Species Na+, Species N3-, Species Ag+, Species Li+, Species O2-]","[Species Cd2+, Species O2-, Species Cd2+, Species Cd2+, Species Cd2+]"
6585,69872,Br2Fe2O5Sr3_69872.json,"[Species F-, Species La3+, Species Cl-, Species K+, Species Nd3+]","[Species O2-, Species Sr2+, Species O2-, Species Br-, Species Sr2+]","[Species O2-, Species Cs+, Species Na+, Species Rb+, Species S2-]","[Species Br-, Species Sr2+, Species Fe3+, Species Sr2+, Species Br-]"
6586,41926,Al2Mg1Se4_41926.json,"[Species W6+, Species Cr3+, Species Si4+, Species Sc3+, Species Sb5+]","[Species Mg2+, Species Mg2+, Species Al3+, Species Mg2+, Species Mg2+]","[Species Na+, Species Li+, Species Na+, Species N3-, Species O2-]","[Species Mg2+, Species Al3+, Species Al3+, Species Se2-, Species Mg2+]"
6587,236555,N5P3_236555.json,"[Species O2-, Species S2-, Species Se2-, Species F-, Species Li+]","[Species N3-, Species N3-, Species N3-, Species N3-, Species N3-]","[Species Si4+, Species Ge4+, Species Y3+, Species B3+, Species Lu3+]","[Species P5+, Species P5+, Species P5+, Species P5+, Species P5+]"
6588,152056,Au1Cs1F4_152056.json,"[Species Ba2+, Species Sr2+, Species W6+, Species Sb5+, Species Mo6+]","[Species Cs+, Species Cs+, Species Au3+, Species Au3+, Species Au3+]","[Species O2-, Species Na+, Species K+, Species Ca2+, Species Pd2+]","[Species F-, Species Au3+, Species Au3+, Species Au3+, Species Au3+]"
6589,18015,Br1K1_18015.json,"[Species Ba2+, Species Sr2+, Species K+, Species Ca2+, Species Rb+]","[Species K+, Species K+, Species Br-, Species K+, Species Br-]","[Species O2-, Species S2-, Species O2-, Species Se2-, Species Cl-]","[Species Br-, Species Br-, Species K+, Species Br-, Species K+]"
6590,30290,Br2Hg1_30290.json,"[Species K+, Species Ge4+, Species Sn4+, Species V3+, Species Rb+]","[Species Br-, Species Hg2+, Species Hg2+, Species Hg2+, Species Br-]","[Species O2-, Species Cu+, Species S2-, Species O2-, Species Ag+]","[Species Br-, Species Hg2+, Species Br-, Species Hg2+, Species Hg2+]"
6591,73561,Cu1Lu1O8W2_73561.json,"[Species F-, Species Zn2+, Species Hg2+, Species Cl-, Species W6+]","[Species O2-, Species Cu+, Species Cu+, Species O2-, Species Lu3+]","[Species Na+, Species Na+, Species Re5+, Species K+, Species Rb+]","[Species W6+, Species Lu3+, Species W6+, Species W6+, Species Lu3+]"
6592,23481,Ba1O6V2_23481.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6593,47105,Cu1K1Na2O2_47105.json,"[Species F-, Species Ba2+, Species Zn2+, Species Hg2+, Species Sr2+]","[Species O2-, Species K+, Species Cu+, Species Cu+, Species K+]","[Species O2-, Species O2-, Species Cl-, Species F-, Species O2-]","[Species Cu+, Species K+, Species K+, Species Na+, Species Na+]"
6594,410942,Cl6O1S1Ti1_410942.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6595,109281,Ba1N2O6_109281.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6596,4204,Ag3Li1O2_4204.json,"[Species F-, Species Si4+, Species Er3+, Species Cl-, Species Ho3+]","[Species O2-, Species Li+, Species Li+, Species O2-, Species Li+]","[Species O2-, Species O2-, Species F-, Species N3-, Species N3-]","[Species Li+, Species Ag+, Species Li+, Species Li+, Species Ag+]"
6597,62897,O2Te1_62897.json,"[Species F-, Species Cl-, Species Br-, Species I-, Species I5+]","[Species O2-, Species O2-, Species O2-, Species O2-, Species Te4+]","[Species La3+, Species Sr2+, Species Nd3+, Species K+, Species Pr3+]","[Species Te4+, Species Te4+, Species Te4+, Species Te4+, Species Te4+]"
6598,20068,Bi2Ga4O9_20068.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6599,2046,Ge3La4S12_2046.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6600,35451,Cu1Na1O4P1_35451.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6601,26025,Br7P1_26025.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6602,85777,La1O1P1Zn1_85777.json,"[Species Zn2+, Species Zr4+, Species Li+, Species Zr4+, Species In3+]","[Species O2-, Species Zn2+, Species O2-, Species O2-, Species Zn2+]","[Species Li+, Species Na+, Species Hg2+, Species Ca2+, Species Cd2+]","[Species Zn2+, Species La3+, Species La3+, Species La3+, Species La3+]"
6603,162300,Cl2Re3Se4Tl1_162300.json,"[Species Ba2+, Species Sr2+, Species Er3+, Species Ho3+, Species Gd3+]","[Species Tl+, Species Tl+, Species Tl+, Species Tl+, Species Tl+]","[Species O2-, Species S2-, Species N3-, Species Cl-, Species Se2-]","[Species Cl-, Species Cl-, Species Se2-, Species Tl+, Species Cl-]"
6604,27516,I2O5_27516.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6605,173748,F2O7Te2V2_173748.json,"[Species F-, Species Nb5+, Species Cl-, Species Ta5+, Species Ru5+]","[Species O2-, Species V4+, Species O2-, Species V4+, Species V4+]","[Species O2-, Species Mg2+, Species Cd2+, Species Mn2+, Species Ni2+]","[Species F-, Species V4+, Species V4+, Species V4+, Species V4+]"
6606,290832,Li4S4Sn1_290832.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6607,26031,I2Sr1_26031.json,"[Species La3+, Species Nd3+, Species K+, Species Cs+, Species Pr3+]","[Species Sr2+, Species Sr2+, Species I-, Species I-, Species Sr2+]","[Species O2-, Species Cs+, Species S2-, Species Rb+, Species K+]","[Species I-, Species Sr2+, Species I-, Species Sr2+, Species Sr2+]"
6608,412007,D3F6O4S1Sb1_412007.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6609,62222,Cl3Re1_62222.json,"[Species K+, Species Rb+, Species Na+, Species Cs+, Species Tl+]","[Species Cl-, Species Cl-, Species Cl-, Species Cl-, Species Cl-]","[Species O2-, Species S2-, Species Se2-, Species N3-, Species Zr2+]","[Species Cl-, Species Cl-, Species Cl-, Species Cl-, Species Re3+]"
6610,24631,C1Si1_24631.json,"[Species Cr6+, Species Mn7+, Species Br7+, Species Se6+, Species As5+]","[Species Si4+, Species Si4+, Species Si4+, Species Si4+, Species Si4+]","[Species Be2+, Species Al3+, Species B3+, Species Ga3+, Species Fe3+]","[Species Si4+, Species Si4+, Species Si4+, Species Si4+, Species Si4+]"
6611,54190,Bi1Cl1Cu3O8Se2_54190.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6612,252314,O14Pb3Te1V2Zn3_252314.json,"[Species F-, Species Si4+, Species Cr6+, Species Ge4+, Species Cl-]","[Species O2-, Species Zn2+, Species V5+, Species Zn2+, Species O2-]","[Species Si4+, Species Cs+, Species Rb+, Species Re5+, Species Ir5+]","[Species V5+, Species Pb2+, Species Pb2+, Species Te6+, Species Te6+]"
6613,92854,Cu1Li2O8W2_92854.json,"[Species F-, Species Ge4+, Species Si4+, Species Er3+, Species Cl-]","[Species O2-, Species Cu2+, Species Li+, Species Li+, Species O2-]","[Species Na+, Species Re5+, Species K+, Species O2-, Species Ru5+]","[Species W6+, Species W6+, Species W6+, Species Li+, Species W6+]"
6614,79985,H12K2N6Sn1_79985.json,"[Species O2-, Species S2-, Species Se2-, Species Ba2+, Species F-]","[Species N3-, Species N3-, Species N3-, Species K+, Species N3-]","[Species Co2+, Species Cd2+, Species Li+, Species Fe2+, Species Ca2+]","[Species Sn4+, Species Sn4+, Species Sn4+, Species Sn4+, Species Sn4+]"
6615,41703,P1Se4Tl3_41703.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6616,109374,Fe1S2_109374.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6617,180397,Ba1O2_180397.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6618,150288,Ag1Br3Cs2_150288.json,"[Species Ba2+, Species Sr2+, Species K+, Species In3+, Species Rb+]","[Species Cs+, Species Cs+, Species Br-, Species Ag+, Species Br-]","[Species O2-, Species S2-, Species O2-, Species Se2-, Species N3-]","[Species Br-, Species Br-, Species Ag+, Species Br-, Species Ag+]"
6619,31563,Ce1O4P1_31563.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6620,62960,O7Sb2Sr2_62960.json,"[Species F-, Species La3+, Species Mo6+, Species Cl-, Species Nd3+]","[Species O2-, Species Sr2+, Species Sb5+, Species O2-, Species Sr2+]","[Species Na+, Species Cs+, Species K+, Species Rb+, Species K+]","[Species Sb5+, Species Sr2+, Species Sb5+, Species Sr2+, Species Sr2+]"
6621,22325,O4Pb3_22325.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6622,24807,I2Zr1_24807.json,"[Species K+, Species Cs+, Species Rb+, Species Tl+, Species Na+]","[Species I-, Species I-, Species I-, Species I-, Species I-]","[Species O2-, Species S2-, Species Se2-, Species Co+, Species Rb+]","[Species I-, Species I-, Species I-, Species Zr2+, Species Zr2+]"
6623,35760,Cl2H8N2O2Pt1_35760.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6624,23519,Cu1La3S7Si1_23519.json,"[Species Zn2+, Species Hg2+, Species P5+, Species V5+, Species As5+]","[Species Cu+, Species Cu+, Species Si4+, Species Si4+, Species Si4+]","[Species Sr2+, Species Ba2+, Species Na+, Species Li+, Species Ca2+]","[Species La3+, Species La3+, Species La3+, Species Si4+, Species La3+]"
6625,280031,Ag1Cl3Rb2_280031.json,"[Species Ba2+, Species Sr2+, Species In3+, Species Er3+, Species Ho3+]","[Species Rb+, Species Rb+, Species Ag+, Species Rb+, Species Rb+]","[Species O2-, Species S2-, Species O2-, Species Cl-, Species N3-]","[Species Cl-, Species Cl-, Species Ag+, Species Rb+, Species Ag+]"
6626,417354,Ag2O6Te2_417354.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6627,165358,Fe1K2P2Se6_165358.json,"[Species Br-, Species Ba2+, Species Cl-, Species Fr+, Species Pb2+]","[Species Se2-, Species K+, Species Se2-, Species Se2-, Species K+]","[None, None, None, None, None]","[None, None, None, None, None]"
6628,79005,Fe1P4Si4_79005.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
6629,89018,Hg1Rb1Sb1Se3_89018.json,"[Species Ba2+, Species Sr2+, Species Ge4+, Species Sn4+, Species V3+]","[Species Rb+, Species Rb+, Species Hg2+, Species Hg2+, Species Hg2+]","[Species Cu+, Species Pb2+, Species K+, Species S2-, Species Tl+]","[Species Hg2+, Species Sb3+, Species Sb3+, Species Sb3+, Species Sb3+]"
6630,34269,K1N3_34269.json,"[Species Ra2+, Species Ba2+, Species Pb2+, Species Sr2+, Species Eu2+]","[Species K+, Species K+, Species K+, Species K+, Species K+]","[Species O2-, None, None, None, None]","[Species K+, None, None, None, None]"
